distribution,alpha,kmax,R0_target,R0_measured,beta_ma,beta_cm,final_EBMA,peak_EBMA,tpeak_EBMA,final_Static,peak_Static,tpeak_Static
"Power law α=2.0, kmax=30",2.0,30,0.64,0.6400000000000001,0.08522639212630163,0.10903990338150507,2.777827173150099e-06,9.999994624587671e-07,0.0,2.504629482684333e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.65,0.65,0.08655805450327508,0.11093265321228049,2.8571128557536898e-06,9.999994624587671e-07,0.0,2.571798443136635e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.66,0.66,0.08788971688024855,0.11283187463431713,2.941651172834752e-06,9.999994624587671e-07,0.0,2.642918281751441e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.67,0.67,0.08922137925722201,0.11473760089544431,3.030360318032259e-06,9.999994624587671e-07,0.0,2.718348122688192e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.68,0.6800000000000002,0.09055304163419549,0.11664986547162992,3.1248521411160726e-06,9.999994624587671e-07,0.0,2.798491998267096e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.69,0.69,0.09188470401116892,0.11856870206894046,3.225378404793411e-06,9.999994624587671e-07,0.0,2.8838060656368024e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.7,0.7,0.09321636638814239,0.12049414462552153,3.3331268763819246e-06,9.999994624587671e-07,0.0,2.9748072822120414e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.71,0.71,0.09454802876511585,0.12242622731359873,3.4480966665371087e-06,9.999994624587671e-07,0.0,3.0720839114188882e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.72,0.7200000000000001,0.09587969114208933,0.12436498454149915,3.5711717534322347e-06,9.999994624587671e-07,0.0,3.1763082366239387e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.73,0.73,0.09721135351906278,0.12631045095569407,3.70362111188994e-06,9.999994624587671e-07,0.0,3.2882521267193013e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.74,0.74,0.09854301589603624,0.12826266144286283,3.845926193824728e-06,9.999994624587671e-07,0.0,3.4088061729859898e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.75,0.75,0.0998746782730097,0.13022165113197817,3.999975720836397e-06,9.999994624587671e-07,0.0,3.5390034438243966e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.76,0.76,0.10120634064998317,0.13218745539641327,4.166745994499279e-06,9.999994624587671e-07,0.0,3.6800491433252263e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.77,0.77,0.10253800302695665,0.13416010985607105,4.347745255331404e-06,9.999994624587671e-07,0.0,3.833358034919649e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.78,0.78,0.1038696654039301,0.13613965037953543,4.545150173520363e-06,9.999994624587671e-07,0.0,4.000602045876697e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.79,0.7899999999999999,0.10520132778090355,0.13812611308624542,4.761672265805186e-06,9.999994624587671e-07,0.0,4.183771490540904e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.8,0.7999999999999999,0.10653299015787701,0.1401195343486921,4.999961152028087e-06,9.999994624587671e-07,0.0,4.385254628575984e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.81,0.8099999999999999,0.10786465253485049,0.1421199507946383,5.2631594838613e-06,9.999994624587671e-07,0.0,4.60794236401366e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.82,0.8199999999999998,0.10919631491182392,0.14412739930936228,5.55537406323008e-06,9.999994624587671e-07,0.0,4.85536777140878e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.83,0.8299999999999998,0.11052797728879739,0.14614191703792473,5.881907346545797e-06,9.999994624587671e-07,0.0,5.131894951570419e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.84,0.8399999999999997,0.11185963966577085,0.14816354138745988,6.249369989165472e-06,9.999994624587671e-07,0.0,5.442978527413663e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.85,0.8499999999999999,0.11319130204274433,0.15019231002949074,6.6658759512818e-06,9.999994624587671e-07,0.0,5.795526968374347e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.86,0.8599999999999998,0.11452296441971778,0.15222826090226926,7.14191723321941e-06,9.999994624587671e-07,0.0,6.1984215157255795e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.87,0.8699999999999998,0.11585462679669124,0.1542714322131411,7.691520437942165e-06,9.999994624587671e-07,0.0,6.6632742963004275e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.88,0.8799999999999998,0.1171862891736647,0.1563218624409357,8.331872285664122e-06,9.999994624587671e-07,0.0,7.205565258104935e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.89,0.89,0.1185179515506382,0.15837959033838186,9.08929154147041e-06,9.999994624587671e-07,0.0,7.846398428579013e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.9,0.8999999999999999,0.11984961392761165,0.16044465493454926,9.997251420127494e-06,9.999994624587671e-07,0.0,8.615310535838946e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.91,0.9099999999999999,0.12118127630458511,0.16251709553731594,1.1107322805107688e-05,9.999994624587671e-07,0.0,9.554948855146539e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.92,0.9199999999999999,0.12251293868155858,0.16459695173586236,1.2494342565402683e-05,9.999994624587671e-07,0.0,1.072925026692888e-05,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.93,0.93,0.12384460105853205,0.16668426340319245,1.4277044335732106e-05,9.999994624587671e-07,0.0,1.2238612586498202e-05,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.94,0.9399999999999997,0.12517626343550547,0.16877907069868142,1.6652785320027292e-05,9.999994624587671e-07,0.0,1.4250185350063703e-05,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.95,0.9499999999999997,0.12650792581247894,0.17088141407065166,1.9975823983935605e-05,9.999994624587671e-07,0.0,1.7064339018580124e-05,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.96,0.9599999999999997,0.1278395881894524,0.17299133425897578,2.4952439429151975e-05,9.999994624587671e-07,0.0,2.1280155726093258e-05,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.97,0.97,0.1291712505664259,0.17510887229770852,3.3220011103278145e-05,9.999994624587671e-07,0.0,2.828822979407737e-05,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.98,0.9799999999999998,0.13050291294339933,0.17723406951774662,4.960424547194518e-05,9.999994624587671e-07,0.0,4.220761758673498e-05,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.99,0.9899999999999998,0.1318345753203728,0.1793669675495181,9.563054656758166e-05,9.999994624587671e-07,0.0,8.216523928238623e-05,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,1.0,0.9999999999999998,0.13316623769734626,0.18150760832570056,0.00034424121390250987,1.000084978538321e-06,11.46028650716268,0.0003386943702264448,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,1.01,1.01,0.13449790007431975,0.18365603408396924,0.0021682498589125974,8.905820792600577e-06,330.6282657066427,0.002632639308493366,1.0851818041017827e-05,300.1975049376235
"Power law α=2.0, kmax=30",2.0,30,1.02,1.0200000000000002,0.13582956245129324,0.1858122873697749,0.006119890161093914,3.2306086327779735e-05,238.97597439936,0.006613606613309628,4.0085937680147104e-05,211.3652841321033
"Power law α=2.0, kmax=30",2.0,30,1.03,1.03,0.13716122482826668,0.18797641103915258,0.009436960203203915,7.072470447184401e-05,187.24468111702794,0.009939133354891216,8.821746357105895e-05,164.00410010250258
"Power law α=2.0, kmax=30",2.0,30,1.04,1.04,0.13849288720524014,0.19014844826156058,0.012513253124254529,0.00012369777464886836,154.98387459686492,0.013161525545749009,0.0001547750872421018,135.0233755843896
"Power law α=2.0, kmax=30",2.0,30,1.05,1.05,0.1398245495822136,0.19232844252275116,0.01554180220331776,0.00019077835423652115,132.9633240831021,0.016347220228868267,0.00023930014818940998,115.3628840721018
"Power law α=2.0, kmax=30",2.0,30,1.06,1.0600000000000003,0.1411562119591871,0.19451643762767268,0.018537206869425994,0.00027153535951649453,116.89292232305809,0.01949826407450925,0.0003413464586563865,101.07252681317034
"Power law α=2.0, kmax=30",2.0,30,1.07,1.07,0.14248787433616053,0.19671247770340336,0.021500467930185667,0.00036554796481971276,104.58261456536414,0.02261511454646723,0.0004604797190256235,90.16225405635141
"Power law α=2.0, kmax=30",2.0,30,1.08,1.08,0.143819536713134,0.1989166072021182,0.024432138523368077,0.00047241210176460734,94.82237055926399,0.025698433033593596,0.0005962770963818774,81.52203805095128
"Power law α=2.0, kmax=30",2.0,30,1.09,1.09,0.14515119909010746,0.20112887090408813,0.027332857512366325,0.0005917344459275362,86.88217205430136,0.02874897760625526,0.0007483269932805642,74.51186279656991
