time,I,R,mean_kI,model,alpha,R0_target
0.0,1.0000006609445222e-06,0.0,4.259585519525905,DSMA,2.5,1.2
0.037509377344336084,1.0075305311204136e-06,3.765044597907779e-08,4.259585086165485,DSMA,2.5,1.2
0.07501875468867217,1.0151170901791311e-06,7.55843952830666e-08,4.2595846348237,DSMA,2.5,1.2
0.11252813203300825,1.0227607655038832e-06,1.1380398536598957e-07,4.259584165549543,DSMA,2.5,1.2
0.15003750937734434,1.030461986591772e-06,1.5231136455758569e-07,4.25958367758842,DSMA,2.5,1.2
0.1875468867216804,1.0382211851809935e-06,1.9110869737620162e-07,4.25958317323256,DSMA,2.5,1.2
0.2250562640660165,1.0460387978017224e-06,2.3019816541959974e-07,4.259582652675652,DSMA,2.5,1.2
0.2625656414103526,1.0539152633336198e-06,2.695819673649584e-07,4.259582117236519,DSMA,2.5,1.2
0.30007501875468867,1.0618510250042354e-06,3.092623189688717e-07,4.259581564182017,DSMA,2.5,1.2
0.33758439609902474,1.0698465288346956e-06,3.492414530673496e-07,4.259580995373077,DSMA,2.5,1.2
0.3750937734433608,1.0779022240837918e-06,3.89521619575818e-07,4.259580412804345,DSMA,2.5,1.2
0.41260315078769694,1.0860185634700262e-06,4.3010508548911827e-07,4.259579818078117,DSMA,2.5,1.2
0.450112528132033,1.0941960043928557e-06,4.7099413488150817e-07,4.259579206616473,DSMA,2.5,1.2
0.4876219054763691,1.1024350063791802e-06,5.121910689066608e-07,4.259578580119057,DSMA,2.5,1.2
0.5251312828207052,1.1107360319715203e-06,5.536982057976655e-07,4.259577942606856,DSMA,2.5,1.2
0.5626406601650412,1.1190995485043743e-06,5.95517880867027e-07,4.259577289596851,DSMA,2.5,1.2
0.6001500375093773,1.127526025550705e-06,6.376524465066667e-07,4.2595766245311015,DSMA,2.5,1.2
0.6376594148537135,1.136015943020367e-06,6.801043030583225e-07,4.2595759465783685,DSMA,2.5,1.2
0.6751687921980495,1.1445698123616375e-06,7.228759968499723e-07,4.2595752475627435,DSMA,2.5,1.2
0.7126781695423856,1.1531881116112306e-06,7.659699202155092e-07,4.259574527741978,DSMA,2.5,1.2
0.7501875468867216,1.1618713161657993e-06,8.09388457692792e-07,4.259573791129351,DSMA,2.5,1.2
0.7876969242310577,1.1706199071734865e-06,8.531340158237647e-07,4.259573036506467,DSMA,2.5,1.2
0.8252063015753939,1.179434369424503e-06,8.972090231544555e-07,4.259572266397725,DSMA,2.5,1.2
0.8627156789197299,1.188315191906238e-06,9.416159302349773e-07,4.259571481996653,DSMA,2.5,1.2
0.900225056264066,1.1972628686914384e-06,9.863572096195276e-07,4.259570684491945,DSMA,2.5,1.2
0.9377344336084021,1.2062778979390071e-06,1.0314353558663885e-06,4.259569874364891,DSMA,2.5,1.2
0.9752438109527382,1.2153607818940036e-06,1.0768528855379268e-06,4.259569053661508,DSMA,2.5,1.2
1.0127531882970742,1.2245120279978675e-06,1.1226123372005933e-06,4.259568221828258,DSMA,2.5,1.2
1.0502625656414104,1.2337321474451268e-06,1.1687162714249244e-06,4.259567379860739,DSMA,2.5,1.2
1.0877719429857464,1.2430216557385116e-06,1.2151672707855404e-06,4.259566529399546,DSMA,2.5,1.2
1.1252813203300824,1.2523810735771313e-06,1.261967939861146e-06,4.259565670979791,DSMA,2.5,1.2
1.1627906976744187,1.261810924858073e-06,1.3091209052345314e-06,4.259564805631545,DSMA,2.5,1.2
1.2003000750187547,1.2713117388968482e-06,1.3566288154925703e-06,4.259563933536217,DSMA,2.5,1.2
1.2378094523630907,1.280884049650237e-06,1.4044943412262213e-06,4.259563054199457,DSMA,2.5,1.2
1.275318829707427,1.2905283940509514e-06,1.4527201750305287e-06,4.259562169886173,DSMA,2.5,1.2
1.312828207051763,1.300245315338308e-06,1.5013090315046192e-06,4.259561277482561,DSMA,2.5,1.2
1.350337584396099,1.310035359727555e-06,1.5502636472517062e-06,4.259560380070105,DSMA,2.5,1.2
1.3878469617404352,1.3198990780752094e-06,1.5995867808790866e-06,4.259559477498667,DSMA,2.5,1.2
1.4253563390847712,1.3298370258790564e-06,1.6492812129981422e-06,4.259558570311561,DSMA,2.5,1.2
1.4628657164291072,1.3398497637222382e-06,1.6993497462243392e-06,4.259557656131389,DSMA,2.5,1.2
1.5003750937734432,1.349937854608719e-06,1.7497952051772283e-06,4.25955673903322,DSMA,2.5,1.2
1.5378844711177795,1.3601018684041765e-06,1.8006204364804457e-06,4.259555816110991,DSMA,2.5,1.2
1.5753938484621155,1.370342377506134e-06,1.8518283087617105e-06,4.259554888773943,DSMA,2.5,1.2
